Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
C241051,BCP,Flushing Industrial Park (Eastern) Parcel 1,C,NW Corner of College Pt Boulevard & 40th Road,,Flushing,Queens,11354,4101,2,40.758489520,-73.834787950,Environmental Easement,Environmental Easement,01,Remedial Action,2007-12-21T00:00:00.000,,lead,c/o Onex Real Estate Partners,"695 Bloomfield Avenue, 3rd Floor",,Montclair,NJ,07042,Jin Zhang and Lantao Sun,3364 21st St. Apt. 6C,,Astoria,11106,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83478795, 40.75848952]}",196,824,2137
V00410,VCP,Former Dowell Facility,C,3311-3313 Walden Ave,,Depew,Erie,14043,1552,9,42.912260400,-78.692669250,Deed Restriction,Deed Restriction,01,Remedial Action,2011-12-07T00:00:00.000,,,Dawn Greening,121 Industrial Boulevard,,Sugar Land,TX,77478,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.69266925, 42.9122604]}",286,506,2041
C360070,BCP,Former General Motors North Tarrytown West Parcel,C,199 Beekman Ave,,Sleepy Hollow,Westchester,10591,6034,3,41.085116800,-73.871005710,Environmental Easement,Environmental Easement,01,Remedial Action,2014-03-28T00:00:00.000,,trichloroethene (TCE),"c/o nick pappas, suncal",2392 Morse Avenue,,Irvine,CA,92614,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.87100571, 41.0851168]}",963,1347,2185
C360065,BCP,Former Hudson Wire Co.,C,62 Water Street,,Ossining,Westchester,10562,6042,3,41.160833333,-73.868333333,Environmental Easement,Environmental Easement,01,Remedial Action,2010-12-31T00:00:00.000,,metals,ROBERT E. FEDIGAN,62 WATER STREET,,OSSINING,NY,10562,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.868333333, 41.160833333]}",957,1333,2185
C203031,BCP,Former Shell Service Station,C,2040 White Plains Road,,Bronx,Bronx,10462,0301,2,40.851941759,-73.867457986,Environmental Easement,Environmental Easement,01,Remedial Action,2007-12-28T00:00:00.000,,benzene,Sol Arker,1044 North Blvd,2nd Floor,Roslyn,NY,11576,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.867457986, 40.851941759]}",307,675,2032
C360085,BCP,Former Teutonia Hall Site,C,55 Buena Vista Avenue,,Yonkers,Westchester,10701,6018,3,40.933888029,-73.903096804,Environmental Easement,Environmental Easement,01,Remedial Action,2017-09-25T00:00:00.000,,mercury,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.903096804, 40.933888029]}",948,1441,2185
C828119,BCP,Former Vogt Manufacturing Site,C,100 Fernwood Ave.,,Rochester,Monroe,14623-,2814,8,43.178465090,-77.586830270,Environmental Easement,Environmental Easement,01,Remedial Investigation,2008-07-31T00:00:00.000,,benzene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.58683027, 43.17846509]}",537,1680,2093
B00055,ERP,Gansevoort/Franklin Street Parcel,C,Corner of Gansevoort and Franklin Streets,,Albany (C),Albany,12202-,0101,4,42.638253001,-73.758024564,Environmental Easement,Environmental Easement,01,Remedial Investigation,2001-03-20T00:00:00.000,,benzo(b)fluoranthene,Daniel P. McCoy,112 State St,,Albany,NY,12207,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.758024564, 42.638253001]}",814,39,2030
755005,HW,Groton SCM Site,04,Main Street,,Groton,Tompkins,13073,5528,7,42.588969900,-76.374658070,Decision Document,Decision Document,01,Remedial Design,1994-03-01T00:00:00.000,VINYL CHLORIDE,chloroethylene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-76.37465807, 42.5889699]}",710,626,2181
203003,HW,Hexagon Laboratories,04,3536 Pear Tree Avenue,,Bronx,Bronx,10475,0301,2,40.887001830,-73.825675170,Environmental Notice,Environmental Notice,01,Remedial Investigation,2000-02-29T00:00:00.000,,acetone,"Dino Tomassetti, Jr.",1590 Troy Avenue,,Brookyln,NY,11234,*** MULTIPLE SITE OWNERS ***,,,,,ZZ,Holchem Limited,,,,ZZ,,"{'type': 'Point', 'coordinates': [-73.82567517, 40.88700183]}",307,679,2032
C915293,BCP,Highland Plaza,C,215 Highland Parkway,,Tonawanda (T),Erie,14223,1564,9,42.974156250,-78.857312417,Environmental Easement,Environmental Easement,00,Certificate of Completion,2017-12-29T00:00:00.000,,tetrachloroethene (PCE),Gary Crewson,"1800 Broadway, Building 1D",,Buffalo,NY,14212,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.857312417, 42.97415625]}",278,158,2041
V00657,VCP,Hudson River Psychiatric Center - Landfill Area 6,C,NYS Route 9,,Poughkeepsie,Dutchess,12601-,1446,3,41.728084570,-73.928316430,Deed Restriction,Deed Restriction,01,Remedial Action,2011-09-26T00:00:00.000,,iron,Andrew Derickson,4601 DTC Blvd Suite 120,,Denver,CO,80237,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.92831643, 41.72808457]}",587,1021,2040
