Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
203003,HW,Hexagon Laboratories,04,3536 Pear Tree Avenue,,Bronx,Bronx,10475,0301,2,40.887001830,-73.825675170,Environmental Notice,Environmental Notice,01,Remedial Investigation,2000-02-29T00:00:00.000,METHYLENE CHLORIDE,methylene chloride,"Dino Tomassetti, Jr.",1590 Troy Avenue,,Brookyln,NY,11234,*** MULTIPLE SITE OWNERS ***,,,,,ZZ,Holchem Limited,,,,ZZ,,"{'type': 'Point', 'coordinates': [-73.82567517, 40.88700183]}",307,679,2032
C224165,BCP,Former Scientific Fire Prevention Inc,C,871 Grand Street,,Brooklyn,Kings,11211,2401,2,40.712488889,-73.939188889,Environmental Easement,Environmental Easement,01,Remedial Action,2016-05-18T00:00:00.000,,chrysene,Joel Greenfield,"199 Lee Avenue, No. 693",,Brooklyn,NY,11211,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.939188889, 40.712488889]}",894,889,2090
411014,HW,Former Bouchard Junkyard,C,US Route 20,,New Lebanon,Columbia,12125,1148,4,42.464956940,-73.400081980,Environmental Notice,Environmental Notice,01,Remedial Investigation,2004-03-31T00:00:00.000,,PCB aroclor 1260,Mary Chittenden,3027 Forest Drive,,Lakeland,FL,33811,,,,,,,Henry Bouchard,US Route 20,,New Lebanon,NY,12125,"{'type': 'Point', 'coordinates': [-73.40008198, 42.46495694]}",512,1298,619
C360065,BCP,Former Hudson Wire Co.,C,62 Water Street,,Ossining,Westchester,10562,6042,3,41.160833333,-73.868333333,Environmental Easement,Environmental Easement,01,Remedial Action,2010-12-31T00:00:00.000,,cyanides(soluble cyanide salts),ROBERT E. FEDIGAN,62 WATER STREET,,OSSINING,NY,10562,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.868333333, 41.160833333]}",957,1333,2185
130005,HW,Liberty Industrial Finishing (4 J's Co.),04,"55 Motor Ave., Colt Industrial Park",,Farmingdale,Nassau,11735,3024,1,40.725401500,-73.450062640,Deed Restriction,Deed Restriction,01,Remedial Design,2006-09-01T00:00:00.000,"CADMIUM, CHROMIUM, DICHLOROBENZENE,",cadmium,John Venditto,Town Hall,54 Audrey Ave.,Oyster Bay,NY,11771,STEPHEN HOLBRIECH,"PO BOX 117, 175 JERICHO TURNPIKE",,SYOSSET,11791,NY,LIBERTY INDUSTRIAL FINISHING PRODUCT,55 MOTOR AVE.,,FARMINGDALE,NY,11735,"{'type': 'Point', 'coordinates': [-73.45006264, 40.7254015]}",59,1115,2094
709005,HW,Novak Farm,04,Pike Road,,McDonough,Chenango,13801,0936,7,42.528971560,-75.757435910,Deed Restriction,Deed Restriction,01,Remedial Investigation,1994-03-01T00:00:00.000,"1,1,1-TRICHLOROETHYLENE (TCE)","1,1,1-trichloroethane",Charles Elmendorf,1800 CONCORD PIKE FOP3-415,P.O. BOX 15437,WILMINGTON,DE,19850-5437,DALE HOUGH,724 EAST 3RD ST.,,ROSELLE,07203,NJ,Charles Elmendorf,1800 CONCORD PIKE FOP3-415,P.O. BOX 15437,WILMINGTON,DE,19850-5437,"{'type': 'Point', 'coordinates': [-75.75743591, 42.52897156]}",267,434,2037
B00052,ERP,Former Mohasco Mills Complex,C,Lyon Street & Forest Avenue,,Amsterdam,Montgomery,12010,2920,4,42.950749077,-74.178350243,Environmental Easement,Environmental Easement,01,Remedial Design,2005-09-19T00:00:00.000,,copper,Linette waling,336 forest ave,,Amsterdam,NY,12010,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.178350243, 42.950749077]}",497,1143,624
B00149,ERP,NFTA Outer Harbor Greenbelt,C,Outer Lots 44-50 and Ogden Gore Tracts 1-2,,Buffalo (c),Erie,14203-,1502,9,42.860410447,-78.876812480,Environmental Easement,Environmental Easement,01,Remedial Design,2006-06-08T00:00:00.000,,chrysene,Chris Catanzaro,95 Perry Street,Suite 500,Buffalo,NY,14203-3030,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.87681248, 42.860410447]}",300,34,
E905030,ERP,Former Randolph Foundry Site,C,2-8 Sheldon Street,,Randolph,Cattaraugus,14772,0576,9,42.158731249,-78.983054443,Environmental Easement,Environmental Easement,01,Certificate of Completion,2012-07-03T00:00:00.000,,arsenic,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.983054443, 42.158731249]}",342,1736,2034
C344066,BCP,Orangeburg (Orangetown) Shopping Center,C,1-45 Orangetown Shopping Center,,Orangetown,Rockland,10962,4424,3,41.044645384,-73.952601448,Environmental Easement,Environmental Easement,01B,Remedial Design,2010-01-05T00:00:00.000,,trichloroethene (TCE),Monica Roth,Urstadt Biddle Properties Inc.,321 Railroad Avenue,Greenwich,CT,06830,,,,,,,SOON KI KWON    AKA DAVID KWON,12 ORANGETOWN SHOPPING CENTER,,ORANGEBURG,NY,10962,"{'type': 'Point', 'coordinates': [-73.952601448, 41.044645384]}",530,1549,628
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,,2021-10-31T00:00:00.000,,trichloroethene (TCE),Raymond Kew,6 Pine Street,,Hudson Falls,NY,12839,,,,,,,Dana Hogan,,,,NY,,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
C241225,BCP,HPS Parcel F,C,1-15 57th Avenue,,Long Island City,Queens,11101,4101,2,40.739444444,-73.961111111,Environmental Easement,Environmental Easement,01,Remedial Investigation,2019-11-26T00:00:00.000,,"indeno(1,2,3-CD)pyrene",Stephanie Rhoades,432 PARK AVE SOUTH,2ND FLOOR,New York,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.961111111, 40.739444444]}",196,873,2137
314061,HW,Harris Corporation,04,Mid-Hudson Industrial Park & 70A Overocker Road,,Poughkeepsie,Dutchess,12603,1413,3,41.692392220,-73.880682670,Decision Document,Decision Document,01,Remedial Investigation,2001-03-30T00:00:00.000,"TRICHLOROETHYLENE, ACETONE, ISOPROPANOL) (F002)",,Natalie Ravasi,70A Overocker Rd,,Poughkeepsie,NY,12603,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.88068267, 41.69239222]}",587,1022,2040
C241079,BCP,Flushing Indust. Pk. (Western Waterfront) Parcel 3,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757417553,-73.837183781,Environmental Easement,Environmental Easement,01,Remedial Investigation,2006-06-30T00:00:00.000,,arsenic,NI XIA ZHENG,142-29 37TH AVENUE,SUITE M1,FLUSHING,NY,11354,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St.,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.837183781, 40.757417553]}",196,824,2137
152140,HW,National Heatset Printing Co.,04,1 Adams Boulevard,,East Farmingdale,Suffolk,11735,5220,1,40.717703330,-73.412568440,Environmental Notice,Environmental Notice,01,Remedial Investigation,1999-06-01T00:00:00.000,"TETRACHLOROETHYLENE (PCE OR ""PERC."")",tetrachloroethene (PCE),MICHAEL ADAMOWICZ III,193 Marine Street,,FARMINGDALE,NY,11735,,,,,,,National Heatset Printing Company,1 Adams Boulevard,,Farmingdale,NY,11735,"{'type': 'Point', 'coordinates': [-73.41256844, 40.71770333]}",1023,1115,2179
645007,HW,General Motors Corp: Powertrain,02,Route 37,,Massena,St Lawrence,13662,4558,6,44.986546060,-74.727324870,Other Controls,Other Controls,01,,2021-06-30T00:00:00.000,,trichloroethene (TCE),Jim M. Redwine,"Alix Partners, LLP","500 Renaissance Drive, Suite 1400",Detroit,MI,48243,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.72732487, 44.98654606]}",321,1585,2140
152006,HW,"Jameco Industries, Inc.",04,248 Wyandanch Avenue,,Wyandanch,Suffolk,11798,5220,1,40.741996020,-73.357060190,Environmental Easement,Environmental Easement,01,Remedial Action,2011-09-14T00:00:00.000,,copper,Mr. Leonard Zichlin,248 Wyandanch Avenue,,West Babylon,NY,11704,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.35706019, 40.74199602]}",1023,1035,2179
932060,HW,Gratwick - Riverside Park,04,River Road,,North Tonawanda,Niagara,14120,3212,9,43.055455410,-78.900055450,Deed Restriction,Deed Restriction,01,Remedial Design,1998-12-01T00:00:00.000,PCB'S,,"chelsea spahr, p.e.",CITY HALL,216 PAYNE AVE.,NORTH TONAWANDA,NY,14120-5493,Niagara Mohawk Power Corporation,,,,,NY,mark Zellner,758 ERIE AVENUE,,North Tonawanda,NY,14120,"{'type': 'Point', 'coordinates': [-78.90005545, 43.05545541]}",158,953,2131
C224165,BCP,Former Scientific Fire Prevention Inc,C,871 Grand Street,,Brooklyn,Kings,11211,2401,2,40.712488889,-73.939188889,Environmental Easement,Environmental Easement,01,Remedial Design,2013-11-20T00:00:00.000,,"1,3-dichlorobenzene",Joel Greenfield,"199 Lee Avenue, No. 693",,Brooklyn,NY,11211,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.939188889, 40.712488889]}",894,889,2090
851008,HW,Lindley Landfill (Closed Portion),04,South Side of Gibson Road,,Lindley,Steuben,14858,5158,8,42.054176290,-77.187700680,Deed Restriction,Deed Restriction,01,Remedial Investigation,1998-02-01T00:00:00.000,OTHER INDUSTRIAL WASTES,industrial waste,Vincent Spagnoletti / Steve Orcutt,Steuben County Office Building,3 East Pulteney Square,BATH,NY,14810,,,,,,,Steve Orcutt,3 Pulteney Square East - Suite 14,,Bath,NY,14810,"{'type': 'Point', 'coordinates': [-77.18770068, 42.05417629]}",28,56,2178
C314111,BCP,Former Drive & Park Inc. Site,C,28 IBM Road,,Poughkeepsie,Dutchess,12601-,1446,3,41.650133250,-73.933989030,Environmental Easement,Environmental Easement,01,Remedial Investigation,2010-12-14T00:00:00.000,,toluene,"Avis Rent A Car System, LLC",6 Sylvan Way,,Parsippany,NJ,07054,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.93398903, 41.65013325]}",587,1021,2040
738029,HW,Former Miller Container Site,04,NY Route 57,,Volney,Oswego,13069,3858,7,43.303164790,-76.386551800,Deed Restriction,Deed Restriction,01,Remedial Action,1997-07-01T00:00:00.000,TRICHLOROETHYLENE (TCE),,"Richard J. Riccelli, Sr.",PO Box 6418,,Syracuse,NY,13217,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-76.3865518, 43.30316479]}",231,623,2135
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Investigation Amendment,2017-08-04T00:00:00.000,"1,1,1-TRICHLOROETHANE","1,1,1-trichloroethane",Grumman Aerospace Corporation - US N,Stewart Avenue,,Bethpage,NY,11714,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,Grumman Aerospace Corporation,Stewart Avenue,,Bethpage,NY,117143581,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
518002,HW,Johnstown City Landfill,04,West Fulton Street Extension,,Johnstown,Fulton,12095,1828,5,43.043971920,-74.393986350,Deed Restriction,Deed Restriction,01,Remedial Design,1995-06-01T00:00:00.000,SPENT PAINT STRIPPER SLUDGE,,CITY OF JOHNSTOWN,33-41 EAST MAIN ST.,,JOHNSTOWN,NY,12095,CITY OF JOHNSTOWN,,,,,ZZ,CITY OF JOHNSTOWN,33-41 EAST MAIN ST.,,JOHNSTOWN,NY,12095,"{'type': 'Point', 'coordinates': [-74.39398635, 43.04397192]}",383,1227,2085
C360108,BCP,"Former M. Argueso and Co., Inc",C,"441, 442, 501, 513 Waverly Avenue",,Mamaroneck,Westchester,10543,6032,3,40.949176412,-73.743379552,Environmental Easement,Environmental Easement,01,Remedial Investigation,2012-12-07T00:00:00.000,,tert-butylbenzene,T.J. Milo,566 Westchester Avenue,,Rye Brook,NY,10573,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.743379552, 40.949176412]}",971,1258,2185
C224099,BCP,Gowanus Village I,C,153 2nd St a/k/a 322 3rd Avenue,,Brooklyn,Kings,11217,2401,2,40.676648306,-73.988792251,Environmental Easement,Environmental Easement,01,Remedial Design,2014-02-19T00:00:00.000,,benzo(a)pyrene,Katie Dixon,98 4th Street,Suite 406,Brooklyn,NY,11231,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.988792251, 40.676648306]}",894,893,2090
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,Remedial Action,1989-10-01T00:00:00.000,,"1,3-dichlorobenzene",BURGOYNE AVENUE,Town Office,210 Main Street,HUDSON FALLS,NY,12839,,,,,,,Town of Kingsbury,Town Offices,210 Main Street,Hudson Falls,NY,12839,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
C241078,BCP,Flushing Industrial Park (Western) Parcel 2,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757023849,-73.836487690,Environmental Easement,Environmental Easement,00,Certificate of Completion,2007-12-27T00:00:00.000,,mercury,mindy wen-jie chu,3907 prince street,suite #1E,flushing,NY,11354,Jin Zhang & Lantao Sun,"3364 21st St., Apt. 6C",,Astoria,11106,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83648769, 40.757023849]}",196,824,2137
V00171,VCP,Federal-Mogul/Huck,C,85 Grand Street,,Kingston,Ulster,12401,5608,3,41.931625590,-73.997750790,Environmental Easement,Environmental Easement,01,Remedial Investigation,2018-07-02T00:00:00.000,,benzo(a)pyrene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.99775079, 41.93162559]}",425,79,2182
828003,HW,Former G.E. and Black & Decker Site,02,200 State Street,,Brockport,Monroe,14420,2852,8,43.212563880,-77.929739050,Environmental Notice,Environmental Notice,05,,2025-03-31T00:00:00.000,,PCB aroclor 1254,c/o Mary K. Manno,600 Oak Street,PO Box 485,Rochester,NY,14603,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.92973905, 43.21256388]}",535,175,2093
C224172,BCP,"Former Arkansas Company, Inc. Site",C,74 Wallabout Street,,Brooklyn,Kings,11211,2401,2,40.698888889,-73.960000000,Environmental Easement,Environmental Easement,01,Remedial Action,2014-12-23T00:00:00.000,,trichloroethene (TCE),Simon Dushinsky,505 Flushing Avenue - Suite 1D,,Brooklyn,NY,11205,,,,,,,Simon Dushinsky,505 Flushing Avenue - Suite 1D,,Brooklyn,NY,11205,"{'type': 'Point', 'coordinates': [-73.96, 40.698888889]}",894,889,2090
932060,HW,Gratwick - Riverside Park,04,River Road,,North Tonawanda,Niagara,14120,3212,9,43.055455410,-78.900055450,Deed Restriction,Deed Restriction,01,Remedial Action,2000-12-31T00:00:00.000,,phenol,"chelsea spahr, p.e.",CITY HALL,216 PAYNE AVE.,NORTH TONAWANDA,NY,14120-5493,Niagara Mohawk Power Corporation,,,,,NY,Mike Gibbons,,,North Tonawanda,NY,14120,"{'type': 'Point', 'coordinates': [-78.90005545, 43.05545541]}",158,953,2131
C203057,BCP,Former G & C Services,C,255 East 138th Street,,Bronx,Bronx,10451,0301,2,40.811607666,-73.927524777,Environmental Easement,Environmental Easement,01,Remedial Design,2015-10-30T00:00:00.000,,benzene,Daniel M. Cohen,242 West 36th Street,Third Floor,New York,NY,10018,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.927524777, 40.811607666]}",307,647,2095
C241098,BCP,OCA LIC Fifth Street Mixed-Use Housing,C,5-20 46th Road,,Queens,Queens,11101,4101,2,40.746301124,-73.954833566,Environmental Easement,Environmental Easement,01,Remedial Investigation,2009-07-24T00:00:00.000,,cyanides(soluble cyanide salts),"OCA LONG ISLAND  CITY, LLC",535 MADISON AVENUE,23RD FLOOR,NEW YORK,NY,10022,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.954833566, 40.746301124]}",196,873,2137
C704058,BCP,Former Stow Manufacturing,C,435 State Street,,Binghamton,Broome,13901,0402,7,42.107627778,-75.905941667,Environmental Easement,Environmental Easement,01,Remedial Investigation,2019-03-22T00:00:00.000,,lead,Bruce Levine,"4549 Main Street, Suite 100",,Amherst,NY,14226,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.905941667, 42.107627778]}",968,475,2033
152140,HW,National Heatset Printing Co.,04,1 Adams Boulevard,,East Farmingdale,Suffolk,11735,5220,1,40.717703330,-73.412568440,Environmental Notice,Environmental Notice,01,Remedial Action,2013-10-15T00:00:00.000,"1,1,1-TRICHLORORETHYLENE (TCE)",trichloroethene (TCE),MICHAEL ADAMOWICZ III,193 Marine Street,,FARMINGDALE,NY,11735,,,,,,,Leo Orellana,193 Marine Street,,FARMINGDALE,NY,11735,"{'type': 'Point', 'coordinates': [-73.41256844, 40.71770333]}",1023,1115,2179
622007,HW,Hiteman Leather Co.,04,NY Route 51,,West Winfield,Herkimer,13491,2256,6,42.883371060,-75.195402150,Environmental Easement,Environmental Easement,03,Remedial Design,2008-07-25T00:00:00.000,,chromium,Andrew Bryce,PO Box 308,79 South Street,West Winfield,NY,13491,,,,,,,"HITEMAN LEATHER COMPANY, INC.",ROUTE 51,,WEST WINFIELD,NY,13491,"{'type': 'Point', 'coordinates': [-75.19540215, 42.88337106]}",665,1394,2088
C915194A,BCP,Former Buffalo Service Station - OFF-SITE,A,249 West Genesee Street,,Buffalo,Erie,14202,1502,9,42.885704000,-78.884825000,Environmental Easement,Environmental Easement,01,Site Characterization,2016-08-26T00:00:00.000,,xylene (mixed),DAVID RODRIGEZ,920 CITY HALL,ROOM - 1101,BUFFALO,NY,14202,,,,,,,TANYA B. ALEXANDER,6363 MAIN STREET,,WILLIAMSVILLE,NY,14221,"{'type': 'Point', 'coordinates': [-78.884825, 42.885704]}",300,32,2041
C932162,BCP,Fashion Outlets of Niagara Falls Expansion,C,1705 Factory Outlet Boulevard,,Niagara,Niagara,14304,3230,9,43.094700000,-78.981716667,Environmental Easement,Environmental Easement,01,Remedial Action,2014-12-19T00:00:00.000,,trichloroethene (TCE),Aladdin Ghafari,"401 Wilshire Boulevard, Suite 700",,Santa Monica,CA,90401,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.981716667, 43.0947]}",160,168,2131
C241226,BCP,HPS Parcel G,C,57-28 2nd Street,,Long Island City,Queens,11101,4101,2,40.738569444,-73.960594444,Environmental Easement,Environmental Easement,01,Remedial Design,2019-12-26T00:00:00.000,,benzo(a)pyrene,Stephanie Rhoades,432 Park Ave South,2nd Floor,New York,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.960594444, 40.738569444]}",196,873,2137
828100,HW,Former Rochester Metal Etching Company,02,100 Lake Avenue,,Rochester,Monroe,14608,2814,8,43.166499850,-77.624265740,Environmental Notice,Environmental Notice,01,Remedial Investigation,2011-03-29T00:00:00.000,,copper,,,,,,,Peter E. Phillippsen,100 Lake Avenue,,Rochester,14608,NY,,,,,,,"{'type': 'Point', 'coordinates': [-77.62426574, 43.16649985]}",537,1666,2093
C915201,BCP,ExxonMobil Oil Former Buffalo Terminal,C,522 and 542 Elk Street,,Buffalo,Erie,14210,1502,9,42.865550139,-78.831096345,Environmental Easement,Environmental Easement,01,Remedial Design,2007-02-15T00:00:00.000,,benzo(b)fluoranthene,pAUL nEUREUTER,4 CENTRE DRIVE,,ORCHARD PARK,NY,14127,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.831096345, 42.865550139]}",300,66,2041
401061,HW,Former Albany Laboratories,04,67 Howard Street,,Albany,Albany,12207,0101,4,42.650564000,-73.755532000,Environmental Easement,Environmental Easement,01,Remedial Action,2017-04-07T00:00:00.000,,"1,1 dichloroethene",,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.755532, 42.650564]}",814,44,2030
C243041,BCP,Former CJ's Service Center Property,C,5801 Amboy Road,,Staten Island,Richmond,10309,4301,2,40.526800000,-74.201500000,Environmental Easement,Environmental Easement,01,Remedial Design,2016-07-18T00:00:00.000,,methyl-tert-butyl ether (MTBE),ANDREW GONCHAR,15 PAGE AVENUE,,STATEN ISLAND,NY,10309,,,,,,,ANDREW GONCHAR,15 PAGE AVENUE,,STATEN ISLAND,NY,10309,"{'type': 'Point', 'coordinates': [-74.2015, 40.5268]}",585,612,2139
C241079,BCP,Flushing Indust. Pk. (Western Waterfront) Parcel 3,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757417553,-73.837183781,Environmental Easement,Environmental Easement,01,Remedial Action,2007-12-27T00:00:00.000,,aldrin,"yumei wang, hao li and jingui sun","41-60 main street, #305",,flushing,NY,11355,Jin Zhang and Lantao Sun,"3364 21st St., Apt. 6C",,Astoria,11106,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.837183781, 40.757417553]}",196,824,2137
224026,HW,K - Former Brooklyn Borough Gas Works,04,2731 West 12th Street,,Brooklyn,Kings,11224,2401,2,40.581505670,-73.978777740,Environmental Notice,Environmental Notice,02,Remedial Action,2013-06-21T00:00:00.000,,acetone,Sarah aldridge,175East Old Country Rd,,Hicksville,NY,11801,BROOKLYN BOROUGH GAS COMPANY,,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.97877774, 40.58150567]}",894,903,2090
203003,HW,Hexagon Laboratories,04,3536 Pear Tree Avenue,,Bronx,Bronx,10475,0301,2,40.887001830,-73.825675170,Environmental Notice,Environmental Notice,01,Site Characterization,1993-03-01T00:00:00.000,BENZENE,benzene,"Dino Tomassetti, Jr.",1590 Troy Avenue,,Brookyln,NY,11234,*** MULTIPLE SITE OWNERS ***,,,,,ZZ,Holchem Limited,,,,ZZ,,"{'type': 'Point', 'coordinates': [-73.82567517, 40.88700183]}",307,679,2032
C704059,BCP,Former ANSCO Camera Factory,C,16 Emma Street,,Binghamton,Broome,13905,0402,7,42.111216667,-75.942283333,Environmental Easement,Environmental Easement,01,Remedial Action,2019-12-23T00:00:00.000,,mercury,matthew paulus,225 Wilkinson street,,syracuse,NY,13901,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.942283333, 42.111216667]}",968,479,2033
C203079,BCP,Parkchester Crossing,C,1590 White Plains Road,,Bronx,Bronx,10462,0301,2,40.840711111,-73.863686111,Environmental Easement,Environmental Easement,01,Remedial Action,2019-12-23T00:00:00.000,,"1,2,4-trimethylbenzene",joel wiener,one penn plaza,suite 4000,new york,NY,10119,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.863686111, 40.840711111]}",307,675,2032
C241078,BCP,Flushing Industrial Park (Western) Parcel 2,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757023849,-73.836487690,Environmental Easement,Environmental Easement,01,Remedial Design,2006-06-28T00:00:00.000,,"1,1,2,2-tetrachloroethane",william stein and judy turchin,345 park avenue,,new york,NY,10154,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St. #305,,Flushing,11355,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83648769, 40.757023849]}",196,824,2137
518002,HW,Johnstown City Landfill,04,West Fulton Street Extension,,Johnstown,Fulton,12095,1828,5,43.043971920,-74.393986350,Deed Restriction,Deed Restriction,01,Remedial Investigation,1993-03-01T00:00:00.000,SPENT ZINC PHOSPHATE SLUDGE  (F009),zinc phosphate,City of Johnstown,33-41 East Main Street,,Johnstown,NY,12095,CITY OF JOHNSTOWN,,,,,ZZ,City of Johnstown,33-41 East Main Street,,Johnstown,NY,12095,"{'type': 'Point', 'coordinates': [-74.39398635, 43.04397192]}",383,1227,2085
C231092,BCP,Keller Hotel Site,C,144-150 Barrow Street,,New York,New York,10014,3101,2,40.732154000,-74.009867000,Environmental Easement,Environmental Easement,01,Remedial Investigation,2017-12-19T00:00:00.000,,naphthalene,Neil Bender,177 Christopher Street,,New York,NY,10014,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.009867, 40.732154]}",749,738,2095
622007,HW,Hiteman Leather Co.,04,NY Route 51,,West Winfield,Herkimer,13491,2256,6,42.883371060,-75.195402150,Environmental Easement,Environmental Easement,03,Remedial Action,2011-10-13T00:00:00.000,,lead,Andrew Bryce,PO Box 308,79 South Street,West Winfield,NY,13491,,,,,,,"HITEMAN LEATHER COMPANY, INC.",ROUTE 51,,WEST WINFIELD,NY,13491,"{'type': 'Point', 'coordinates': [-75.19540215, 42.88337106]}",665,1394,2088
755008,HW,NYSEG - Ithaca Court St. MGP,02,Court Street,,Ithaca,Tompkins,14850,5530,7,42.442901273,-76.503630173,Deed Restriction,Deed Restriction,01B,Remedial Action,2000-08-30T00:00:00.000,,coal tar,MR. GARY LINDENBAUM,BOX 549,,ITHACA,NY,14850,,,,,,,NYS ELECTRIC AND GAS COMPANY,4500 VESTAL PARKWAY,,BINGHAMTON,NY,13903,"{'type': 'Point', 'coordinates': [-76.503630173, 42.442901273]}",709,1786,2181
828003,HW,Former G.E. and Black & Decker Site,02,200 State Street,,Brockport,Monroe,14420,2852,8,43.212563880,-77.929739050,Environmental Notice,Environmental Notice,04A,Remedial Action,2002-05-23T00:00:00.000,,trichloroethene (TCE),c/o Mary K. Manno,600 Oak Street,PO Box 485,Rochester,NY,14603,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.92973905, 43.21256388]}",535,175,2093
C828137,BCP,Monoco Oil Site,C,75 Monroe Avenue,,Pittsford,Monroe,14534,2846,8,43.092852749,-77.522414638,Environmental Easement,Environmental Easement,01,Remedial Design,2016-08-24T00:00:00.000,,lead,"Pittsford Canalside Properties, LLC",301 Exchand Boulevard,,Rochester,NY,14534,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.522414638, 43.092852749]}",539,372,2093
C241078,BCP,Flushing Industrial Park (Western) Parcel 2,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757023849,-73.836487690,Environmental Easement,Environmental Easement,01,Remedial Design,2006-06-28T00:00:00.000,,aldrin,william stein and judy turchin,345 park avenue,,new york,NY,10154,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St. #305,,Flushing,11355,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83648769, 40.757023849]}",196,824,2137
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Investigation,1995-07-01T00:00:00.000,TRICHLORETHYLENE (F001),,GRUMMAN AEROSPACE - US NAVY,"GRUMMAN CORP., STEWART AVE",,BETHPAGE,NY,11714,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,Grumman Aerospace Corporation,Stewart Avenue,,Bethpage,NY,11714,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
